Restaurant,Town,Borough,Address,Service,Phone,Website,Merch,Gift cards,Other
Melanies Roti & Grill,Castle Hill,Bronx,1248 Castle Hill Road,pickup + delivery,(718) 409-1088,http://www.melaniesrotigrillrestaurant.com/index.html,,,
Juices for Life,Castle Hill / E Tremont,Bronx,"1026 Castle Hill Ave, The Bronx, NY 10465",Pickup,(347) 281-9844,http://juicesforlife.nyc/,,,
Jenny's Roti Shop,Castle Hill,Bronx,"1262 Castle Hill Ave, The Bronx, NY 10462",pickup + delivery,(347) 281-8558,https://www.facebook.com/Jennys-Roti-Shop-119225291482525/,,,
Juiceade,Claremont Village,Bronx,"1345 Southern Blvd Store 1, The Bronx, NY 10459",pickup + delivery,(718) 991-6369,https://www.juiceade.com/,,,
Jimmy's On the Go,Morrisania,Bronx,"536 E 168th St, The Bronx, NY 10456",pickup,(718) 842-2324,,,,
Corner Style Jamaican,Concourse,Bronx,"1195 Walton Ave, The Bronx, NY 10452",pickup + delivery,(718) 410-8460,,,,
Sam's Soulfood,Concourse,Bronx,"598 Grand Concourse, The Bronx, NY",pickup + delivery,718-665-1409,http://www.samssoulfood.com/,,,
Fish 'N Ting,Eastchester,Bronx,"4063 Boston Rd, The Bronx, NY 10466",pickup + delivery,(718) 881-6116,,,,
Nabaya,Fordham,Bronx,"860 Melrose Ave, The Bronx, NY 10451",pickup + delivery,(718) 401-2283,,,,
King Sunshine Jerk Center,Parkchester,Bronx,"1853 Westchester Ave, The Bronx, NY 10472",Pickup + delivery,,,,,
Next Stop Vegan,Parkchester,Bronx,1818 Archer Street,Pickup / Pre-order,(347) 398-8166,https://nextstopvegan.com/,,,
Lloyd's Carrot Cake,Riverdale,Bronx,"6087 Broadway, The Bronx, NY 10471","pickup, delivery, & nationwide shipping",(718) 548-9020,https://www.lloydscarrotcake.com/,,,
Accra Restaurant,Soundview,Bronx,"2041 Davidson Ave, The Bronx, NY 10453",pickup + delivery,(718) 584-8500,https://www.facebook.com/AccraRestaurant/?rf=212498742294230,,,
Cea-Lo Cafe,Soundview,Bronx,"1003 Soundview Ave, The Bronx, NY 10472",pickup + delivery,(718) 620-0337,https://www.cealocafe.com/menu,,,
Fouta Halal,Soundview,Bronx,"1762 Westchester Ave, The Bronx, NY 10472",,(718) 792-1700,https://www.allmenus.com/ny/bronx/214490-fouta-africanamerican-restaurant/menu/,,,
Taste So Good (Make You Wanna Slap Your Mama),Soundview,Bronx,"1752 Lafayette Ave, The Bronx, NY 10473",pickup + delivery,(347) 271-6506,https://www.instagram.com/tastesogoodbx/?hl=en,,,
Beatstro,South Bronx,Bronx,"135 Alexander Ave, The Bronx, NY 10454",pickup,(718) 489-9397,https://www.beatstro.com/,,,
Bricks and Hops,South Bronx,Bronx,"65 Bruckner Boulevard, Bronx, NY",pickup,718-450-3991,https://www.bricksandhops.com/menu,,,
Flava's International Grill,South Bronx,Bronx,"854 Gerard Ave, The Bronx, NY 10451",pickup + 3rd party delivery,718-292-2900,https://www.facebook.com/flavasbx/,,,
Margarita's,South Bronx,Bronx,"915 Avenue St John, The Bronx, NY 10455",,,,,,
Papaye,South Bronx,Bronx,"2300 Grand Concourse, The Bronx, NY 10458",pickup + delivery,718-676-0771,,,,
Paula’s Soul Food,Wakefield,Bronx,"746 E 233rd St, Bronx, NY 10466",pickup + delivery,718-655-1022,http://paulasoulfood.com/about.html,,,
Soul Snacks Cafe,Westchester Square,Bronx,"901 E. 134 Street Bronx, NY 10454",pick up and delivery,(347) 398-8917,,,,
A&A Bake Doubles and Roti Shop,Bed Stuy,Brooklyn,"1337 Fulton St, Brooklyn, NY 11216",pick up,(347) 425-0016,,,,
Basquiat's Bottle,Bed Stuy,Brooklyn,"1198 Fulton St, Brooklyn, NY 11216",pick up and delivery,(347) 533-8288,https://www.toasttab.com/basquiats-bottle/v3?utmSource=eGiftCardsTile,,,
Bed Stuy Fish Fry,Bed Stuy / Clinton Hill / Crown Heights,Brooklyn,801 Halsey St. + 3 additional locations,pickup + delivery,,https://bedstuyfishfry.com/,,,
Bed Vyne Wine (wine shop),Bed Stuy,Brooklyn,"385 Tompkins Ave, Brooklyn, NY 11216",pick up and delivery,(347) 915-1080,https://wine.bed-vyne.com/,,,
BKLYN Blend,Bed Stuy,Brooklyn,"194 Tompkins Ave Brooklyn, NY",pickup + delivery,(718) 484-2247,http://www.bklynblend.com/,,,
BK Lobster,Bed Stuy,Brooklyn,"535 Nostrand Ave, Brooklyn, NY 11216",pick up and delivery,(347) 365-4040,https://bklobster.com/,,,
Black Nile,Bed Stuy,Brooklyn,"592 Nostrand Ave, Brooklyn, NY 11216",,347-879-8911,https://blacknilerestaurant.com/,,,
Brooklyn Baby Cakes,Bed Stuy,Brooklyn,"506 Nostrand Ave, Brooklyn, NY 11216",pick up + 3rd party delivery,(718) 484-8466,https://brooklynbabycakes.com/,,,
Brooklyn Beso,Bed Stuy,Brooklyn,"370 Lewis Ave, Brooklyn, NY 11233",pick up & delivery ,(347) 915-2900,http://www.brooklynbeso.com,,,
Brooklyn Kettle,Bed Stuy,Brooklyn,"420 Putnam Ave, Brooklyn, NY 11216",pick up,(347) 365-3497,https://www.brooklynkettle.com/,,,
Brooklyn Tea,Bed Stuy,Brooklyn,"524 Nostrand Ave, Brooklyn, NY 11216",pickup + shipping,347-240-4281,https://brooklyntea.com/,,,
Brown Butter Craft Bar & Kitchen,Bed Stuy,Brooklyn,"413 Tompkins Ave, Brooklyn, NY 11216",pick up & delivery ,(347) 683-2116,https://brownbutternyc.com/,,,
The Bush Doctor Juice Bar,Bed Stuy,Brooklyn,"307 Tompkins Ave, Brooklyn, NY 11216",pick up and delivery,(718) 594-7607,http://www.thebushdoctor.net/,,,
Cafe on Ralph,Bed Stuy,Brooklyn,"86 Ralph Ave, Brooklyn, NY 11221",pick up & delivery ,(347) 413-5753,http://cafeonralphavenue.com,,,Open for grocery delivery. 
El Jeffe Modern Mexican Grill,Bed Stuy,Brooklyn,"1483 Fulton St, Brooklyn, NY 11216",Pick up and delivery,(347) 365-8919,,,,
The Council Cafe,Bed Stuy,Brooklyn,"279 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(347) 240-8778,https://www.thecouncilcafe.com/,,,
Cuts and Slices,Bed Stuy,Brooklyn,"93 Howard Ave, Brooklyn, NY 11233",pickup + delivery,(718) 552-2652,https://www.cutsslices.com/,,,
Daddy Greens Pizza,Bed Stuy,Brooklyn,"1552 Fulton St, Brooklyn, NY 11216",pick up + delivery,(718) 484-2142,https://www.daddygreenspizza.com/,,,
Doctor's Cave Cafe,Bed Stuy,Brooklyn,"856 Marcy Ave, Brooklyn, NY 11216",pick up,(718) 398-4776,http://doctorscavecafe.com/,,,
Drip Coffee Makers,Bed Stuy  (Bushwick border),Brooklyn,"12 Belvidere St., Brooklyn, NY 11206",takeout,(917) 704-6742,https://www.dripcoffeenyc.com/,,,
"Grandchamps	",Bed Stuy,Brooklyn,"197 Patchen Ave, Brooklyn, NY 11233",pickup + delivery,"(718) 484-4880	",http://www.grandchamps.nyc/,,,
Greedi Vegan Kitchen,Bed Stuy,Brooklyn,"180 Ralph Ave, Brooklyn, NY 11233",pickup + delivery,(347) 533-8045,https://greedi-kitchen.com/#,,,
Happy Cork (wine shop),Bed Stuy,Brooklyn,"51 Buffalo Ave, Brooklyn, NY 11233",pick up & delivery ,347.985.9067,https://happy-cork.com/,,,
Joloff Restaurant,Bed Stuy,Brooklyn,"1168 Bedford Ave #1617, Brooklyn, NY 11216",pick up and delivery ,(718) 230-0523,https://www.joloffjoloff.com/,,,
